site	upper	lower	weight	siteabove	sitebelow
Shropshire_Downtonian	133	129.2	1	NA	NA
Wood_Bay_general	410.8	407.6	1	NA	NA
Guodingshan	438.5	433.4	1	NA	NA
Bac_Bun	413.6	409.7	1	NA	NA
Maoshan	435.1	431.4	1	NA	NA
Eday	387.7	384.4	1	NA	NA
Shixiagou	387.7	382.7	1	NA	NA
Haikou	387.7	382.7	1	NA	NA
Onondaga	393.3	387.7	1	NA	NA
Merriganowry	384.4	379.2	1	NA	NA
Dnister	413.6	409.7	1	NA	NA
Buchan	409.7	407.6	1	NA	NA
Kureika	416.4	413.6	1	NA	NA
Lebach	298.9	293.5	1	NA	NA
Farnell	419.2	410.8	1	NA	NA
Ventspils	410.8	407.6	1	NA	NA
Severnaya_Zemlya	419.2	416.4	1	NA	NA
Wardie	336.2	328.3	1	NA	NA
Manse_Burn	330.9	323.2	1	NA	NA
Fayetteville	333	318.1	1	NA	NA
Fenton	315.2	307	1	NA	NA
Bear_Gulch	323.1	318.1	1	NA	NA
Atholville	407.6	391.4	1	NA	NA
Hartford	303.7	298.9	1	NA	NA
Admiral	299	280	1	NA	NA
SicaSica	393.3	382.7	1	NA	NA
Bear_Rock	407.6	393.3	1	NA	NA
New_Providence_Shale	347.1	346.3	1	NA	NA
Nathorst_Fjord	389.6	386	1	NA	NA
Chuangdong_formation	398.1	393.3	1	NA	NA
Ferques	373.5	372.5	1	NA	NA
Plattenkalk	384.4	382.7	1	NA	NA
Aztec	387.7	382.7	1	NA	NA
Bertie	427.4	419.2	1	NA	NA
Lower_Old_Red_Sandstone_Wales	419.2	410.8	1	NA	NA
Fraenkelryggen	413.6	410.8	1	Ben_Nevis	NA
Ben_Nevis	413.6	410.8	1	NA	Fraenkelryggen
Wood_Bay_assemblage_1	410.8	407.6	1	Wood_Bay_assemblage_6	NA
Wood_Bay_assemblage_6	410.8	407.6	1	NA	Wood_Bay_assemblage_1
Saaremaa	427.4	423	1	NA	NA
Escuminac	382.7	379.2	1	NA	NA
Xishancun	419.2	410.8	1	Xitun	NA
Xitun	413.6	410.8	1	NA	Xishancun
Posongchong	410.8	407.6	1	NA	NA
Gogo	382.7	379.2	1	NA	NA
Achanarras_Edderton	389.6	387.7	1	NA	NA
Canowindra	372.2	358.9	1	NA	NA
Hunsrueck	408.7	402.8	1	NA	NA
Mt_Howitt	387.7	382.7	1	NA	NA
Wee_Jasper	407.6	393.3	1	NA	NA
POW	419.2	410.8	1	NA	NA
Kellwasser	375.7	372.2	1	NA	NA
Kuanti	427.4	423	1	NA	NA
MOTH	419.2	410.8	1	NA	NA
Turin_Hill	419.2	410.8	1	NA	NA
Tynet_Burn	389.6	387.7	1	NA	NA
Wayne_Herbert	419.2	410.8	1	NA	NA
Glencartholm	363.3	358.9	1	NA	NA
Cleveland_Shale	363.3	358.9	1	NA	NA
