taxon	site
Hemicyclaspis_murchisoni	Shropshire_Downtonian
Zenaspis_salweyi	Lower_Old_Red_Sandstone_Wales
Cephalaspis_lyelli	Lower_Old_Red_Sandstone_Wales
Benneviaspis_holtedahli	Ben_Nevis
Boreaspis_macrorhynchus	Wood_Bay_assemblage_1
Norselaspis_glacialis	Wood_Bay_assemblage_1
Nectaspis_areolate	Wood_Bay_assemblage_6
Procephalaspis_oeselensis	Saaremaa
Tremataspis_mammillata	Saaremaa
Waengsjoeaspis_excellens	Fraenkelryggen
Escuminaspis_laticeps	Escuminac
Eugaleaspis_changi	Xitun
Hanyangaspis_guodingshanensis	Guodingshan
Polybranchiaspis_liaojiaoshanensis	Xitun
Bannhuanaspis_vukhuci	Bac_Bun
Wenshanaspis_zhichangensis	Posongchong
Shuyu_zhejiangensis	Maoshan
Polybranchiaspid_sp_histological_samples	Xitun
Yunnanolepis_sp	Xitun
Parayunnanolepis_xitunensis	Xitun
Microbrachius_dicki	Eday
Bothriolepis_sp_Gogo	Gogo
Bothriolepis_canadensis	Escuminac
Pterichthyodes_milleri	Achanarras_Edderton
Remigolepis_walkeri	Canowindra
Diandongpetalichthys_liaojiaoshanensis	Xishancun
Quasipetalichthys_haikouensis	Shixiagou
Eurycaraspis_incilis	Haikou
Lunaspis_broili	Hunsrueck
Macropetalichthys_rapheidolabis	Onondaga
Groenlandaspis_sp_Mt_Howitt	Mt_Howitt
Cowralepis_mclachlani	Merriganowry
Sigaspis_lepidophora	Wood_Bay_assemblage_1
Kujdanowiaspis_podolica	Dnister
Dicksonosteus_arcticus	Wood_Bay_assemblage_6
Buchanosteus_confertituberculatus	Buchan
Parabuchanosteus_murrumbidgeensis	Wee_Jasper
Holonema_westolli	Gogo
Coccosteus_cuspidatus	Achanarras_Edderton
Incisoscutum_ritchiei	Gogo
Eastmanosteus_calliaspis	Gogo
Compagopiscis_croucheri	Gogo
Materpiscis_attenboroughi	Gogo
Austroptyctodus_gardineri	Gogo
Campbellodus_decipiens	Gogo
Rhamphodopsis_threiplandi	Achanarras_Edderton
Brindabellaspis_stensioi	Wee_Jasper
Romundina_stellina	POW
Jagorina_pandora	Kellwasser
Gemuendina_stuertzi	Hunsrueck
Entelognathus_primordialis	Kuanti
Janusiscus_schultzei	Kureika
Acanthodes_bronni	Lebach
Brachyacanthus_scutiger	Farnell
Brochoadmones_milesi	MOTH
Cassidiceps_vermiculatus	MOTH
Cheiracanthus_sp	Tynet_Burn
Climatius_reticulatus	Turin_Hill
Culmacanthus_stewarti	Mt_Howitt
Euthacanthus_macnicoli	Turin_Hill
Gladiobranchus_probaton	MOTH
Homalacanthus_concinnus	Escuminac
Ischnacanthus_gracilis	Turin_Hill
Kathemacanthus_rosulentus	MOTH
Latviacanthus_ventspilensis	Ventspils
Lupopsyrus_pygmaeus	MOTH
Mesacanthus_mitchelli	Turin_Hill
Obtusacanthus_corroconis	MOTH
Parexus_recurvus	Turin_Hill
Poracanthodes_menneri	Severnaya_Zemlya
Promesacanthus_eppleri	MOTH
Ptomacanthus_anglicus	Wayne_Herbert
Diplacanthus_crassisimus	Achanarras_Edderton
Tetanopsyrus_lindoei_breviacanthias	MOTH
Vernicomacanthus_waynensis	Wayne_Herbert
Cladodoides_wildungensis	Kellwasser
Akmonistion_zangerli	Manse_Burn
Cobelodus_braincase	Fayetteville
Cladoselache_kepleri_fyleri	Cleveland_Shale
Chondrenchelys_problematica	Glencartholm
Helodus_simplex	Fenton
Debeerius_ellefseni	Bear_Gulch
Doliodus_latispinosus	Atholville
Hamiltonichthys_mapesi	Hartford
Onychoselache_traquari	Glencartholm
Orthacanthus_sp	Admiral
Pucapampella_rodrigae	SicaSica
Tamiobatis_vetustus	Cleveland_Shale
Tristychius_arcuatus	Wardie
Dialipina_salgueiroensis	Bear_Rock
Ligulalepis_braincase	Wee_Jasper
Cheirolepis_canadensis	Escuminac
Cheirolepis_trailli	Achanarras_Edderton
Howqualepis_rostridens	Mt_Howitt
Mimipiscis_toombsi	Gogo
Moythomasia_durgaringa	Gogo
Kentuckia_deani	New_Providence_Shale
Meemannia_eos	Xitun
Guiyu_oneiros	Kuanti
Psarolepis_romeri	Xishancun
Achoania_jarvikii	Xitun
Onychodus_jandemarrai	Gogo
Miguashaia_bureaui	Escuminac
Styloichthys_changae	Xitun
Diabolepis_speratus	Xitun
Youngolepis_praecursor	Xitun
Powichthys_thorsteinssoni	POW
Porolepis_sp	Wood_Bay_general
Glyptolepis_groenlandica	Nathorst_Fjord
Kenichthys_campbelli	Chuangdong_formation
Osteolepis_macrolepidotus	Tynet_Burn
Gogonasus_andrewsae	Gogo
Eusthenopteron_foordi	Escuminac
Qilinyu_rostrata	Kuanti
Lehmanosteus_hyperboreus	Wood_Bay_assemblage_6
Dipterus_valenciennesi	Achanarras_Edderton
Raynerius_splendens	Ferques
Qingmenodus_yui	Posongchong
Diplocercides_kayseri	Kellwasser
Rhinodipterus_kimberleyensis	Gogo
Chirodipterus_australis	Gogo
Tungsenia_paradoxa	Posongchong
Gladbachus_adentatus	Plattenkalk
Shearsbyaspis_oepiki	Wee_Jasper
Milesacanthus_antarctica	Aztec
Nerepisacanthus_denisoni	Bertie
