taxon	site
Acanthodes_bronni	Lebach
Achoania_jarvikii	Xitun
Akmonistion_zangerli	Manse_Burn
Austroptyctodus_gardineri	Gogo
Bannhuanaspis_vukhuci	Bac_Bun
Benneviaspis_holtedahli	Ben_Nevis
Boreaspis_macrorhynchus	Wood_Bay_assemblage_1
Bothriolepis_canadensis	Escuminac
Bothriolepis_sp_Gogo	Gogo
Brachyacanthus_scutiger	Farnell
Brindabellaspis_stensioi	Wee_Jasper
Brochoadmones_milesi	MOTH
Buchanosteus_confertituberculatus	Buchan
Campbellodus_decipiens	Gogo
Cassidiceps_vermiculatus	MOTH
Cephalaspis_lyelli	Lower_Old_Red_Sandstone_Wales
Cheiracanthus_sp	Tynet_Burn
Cheirolepis_canadensis	Escuminac
Cheirolepis_trailli	Achanarras_Edderton
Chondrenchelys_problematica	Glencartholm
Cladodoides_wildungensis	Kellwasser
Cladoselache_kepleri_fyleri	Cleveland_Shale
Climatius_reticulatus	Turin_Hill
Cobelodus_braincase	Fayetteville
Coccosteus_cuspidatus	Achanarras_Edderton
Compagopiscis_croucheri	Gogo
Cowralepis_mclachlani	Merriganowry
Culmacanthus_stewarti	Mt_Howitt
Debeerius_ellefseni	Bear_Gulch
Diabolepis_speratus	Xitun
Dialipina_salgueiroensis	Bear_Rock
Diandongpetalichthys_liaojiaoshanensis	Xishancun
Dicksonosteus_arcticus	Wood_Bay_assemblage_6
Diplacanthus_striatus	Achanarras_Edderton
Doliodus_problematicus	Atholville
Eastmanosteus_calliaspis	Gogo
Entelognathus_primordialis	Kuanti
Escuminaspis_laticeps	Escuminac
Eugaleaspis_changi	Xitun
Eurycaraspis_incilis	Haikou
Eusthenopteron_foordi	Escuminac
Euthacanthus_macnicoli	Turin_Hill
Gavinaspis_convergens	Xitun
Gemuendina_stuertzi	Hunsrueck
Gladiobranchus_probaton	MOTH
Glyptolepis_groenlandica	Nathorst_Fjord
Gogonasus_andrewsae	Gogo
Groenlandaspis_sp_Mt_Howitt	Mt_Howitt
Guiyu_oneiros	Kuanti
Hamiltonichthys_mapesi	Hartford
Hanyangaspis_guodingshanensis	Guodingshan
Helodus_simplex	Fenton
Hemicyclaspis_murchisoni	Shropshire_Downtonian
Holonema_westolli	Gogo
Homalacanthus_concinnus	Escuminac
Howqualepis_rostridens	Mt_Howitt
Incisoscutum_ritchiei	Gogo
Ischnacanthus_gracilis	Turin_Hill
Jagorina_pandora	Kellwasser
Janusiscus_schultzei	Kureika
Kathemacanthus_rosulentus	MOTH
Kenichthys_campbelli	Chuangdong_formation
Kentuckia_deani	New_Providence_Shale
Kujdanowiaspis_podolica	Dnister
Latviacanthus_ventspilsensis	Ventspils
Ligulalepis_toombsi	Wee_Jasper
Lunaspis_broili	Hunsrueck
Lupopsyrus_pygmaeus	MOTH
Macropetalichthys_rapheidolabis	Onondaga
Materpiscis_attenboroughi	Gogo
Meemannia_eos	Xitun
Mesacanthus_mitchelli	Turin_Hill
Microbrachius_dicki	Eday
Miguashaia_bureaui	Escuminac
Mimipiscis_toombsi	Gogo
Moythomasia_durgaringa	Gogo
Nectaspis_areolate	Wood_Bay_assemblage_6
Norselaspis_glacialis	Wood_Bay_assemblage_1
Obtusacanthus_corroconis	MOTH
Onychodus_jandemarrai	Gogo
Onychoselache_traquari	Glencartholm
Orthacanthus_sp	Admiral
Osorioichthys_marginis	Famenne
Osteolepis_macrolepidotus	Tynet_Burn
Parabuchanosteus_murrumbidgeensis	Wee_Jasper
Parayunnanolepis_xitunensis	Xitun
Parexus_recurvus	Turin_Hill
Polybranchiaspid_sp_histological_samples	Xitun
Polybranchiaspis_liaojiaoshanensis	Xitun
Poracanthodes_menneri	Severnaya_Zemlya
Porolepis_sp	Wood_Bay_general
Powichthys_thorsteinssoni	POW
Procephalaspis_oeselensis	Saaremaa
Promesacanthus_eppleri	MOTH
Psarolepis_romeri	Xishancun
Pterichthyodes_milleri	Achanarras_Edderton
Ptomacanthus_anglicus	Wayne_Herbert
Pucapampella_rodrigae	SicaSica
Quasipetalichthys_haikouensis	Shixiagou
Ramirosuarezia_boliviana	Icla
Remigolepis_walkeri	Canowindra
Rhamphodopsis_threiplandi	Achanarras_Edderton
Romundina_stellina	POW
Shuyu_zhejiangensis	Maoshan
Sigaspis_lepidophora	Wood_Bay_assemblage_1
Styloichthys_changae	Xitun
Tamiobatis_vetustus	Cleveland_Shale
Tetanopsyrus_lindoei_breviacanthias	MOTH
Tremataspis_mammillata	Saaremaa
Tristychius_arcuatus	Wardie
Vernicomacanthus_waynensis	Wayne_Herbert
Waengsjoeaspis_excellens	Fraenkelryggen
Wenshanaspis_zhichangensis	Posongchong
Wuttagoonaspis_fletcheri	Mulga
Youngolepis_praecursor	Xitun
Yunnanolepis_sp	Xitun
Zenaspis_salweyi	Lower_Old_Red_Sandstone_Wales
