,tax,Age,lower,upper,
1,MOTH,412.3583594,410.8020659,415.5907541,-4.788688263
2,Tetanopsyrus,413.8407847,410.8088063,418.408964,-7.600157662
3,Promesacanthus,412.42192,410.8039798,416.3373197,-5.533339981
4,Obtusacanthus,415.0807118,411.248492,419.1650992,-7.916607209
5,Lupopsyrus,413.6337524,410.8163031,418.4609906,-7.644687484
6,Kathemacanthus,415.3859321,411.324484,419.1041895,-7.779705506
7,Gladiobranchus,413.8423506,410.8143716,418.3210802,-7.506708574
8,Cassidiceps,415.9940282,411.6406301,419.1896101,-7.54897994
9,Brochoadmones,414.7613878,410.839469,418.7213597,-7.881890654
10,Turin Hill,416.4702804,413.0644193,419.1470974,-6.082678084
11,Parexus,414.6970817,410.8195084,418.5919549,-7.772446484
12,Mesacanthus,414.645781,411.090822,418.6762629,-7.585440928
13,Ischnacanthus,416.3410916,411.8315793,419.1957402,-7.364160901
14,Euthacanthus,415.9643704,411.4907856,419.1962186,-7.705433005
15,Climatius,416.5390227,411.7683829,419.1923105,-7.423927579
